track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_year
0.41,1,1,0.63,0.726,0.0,0.9,1,0.0978,0.0717,0.0,0.108,0.499,0.51,2019
0.69,1,1,0.845,0.766,0.18,0.86,0,0.0658,0.212,0.0,0.111,0.782,0.48,2019
0.66,1,1,0.679,0.866,0.18,0.9,1,0.0566,0.0337,0.0,0.0688,0.441,0.51,2019
0.68,1,1,0.657,0.882,0.0,0.9,0,0.0456,0.247,0.0,0.112,0.179,0.53,2019
0.66,1,1,0.493,0.773,0.45,0.9,0,0.157,0.429,0.0,0.0807,0.301,0.51,2019
0.63,1,1,0.687,0.706,0.36,0.86,1,0.0459,0.091,0.0,0.124,0.27,0.48,2019
0.68,1,1,0.654,0.874,0.55,0.89,1,0.0543,0.169,0.0,0.134,0.542,0.5,2019
0.23,1,1,0.661,0.758,0.64,0.86,1,0.0864,0.0797,0.0,0.106,0.387,0.48,2019
0.67,1,1,0.447,0.684,0.82,0.88,0,0.09,0.175,0.0,0.478,0.437,0.52,2019
0.62,1,1,0.731,0.802,0.45,0.88,1,0.0623,0.022,0.0,0.059,0.434,0.51,2019
0.09,1,1,0.489,0.766,0.27,0.85,1,0.0851,0.0511,0.0,0.126,0.117,0.51,2019
0.59,1,1,0.6,0.888,0.73,0.88,1,0.13,0.00166,0.0,0.4,0.641,0.53,2019
0.71,1,1,0.687,0.707,0.36,0.85,1,0.0328,0.0536,0.0,0.16,0.607,0.53,2019
0.21,1,1,0.711,0.724,0.64,0.88,1,0.106,0.0835,0.0,0.0389,0.478,0.43,2018
0.81,1,1,0.693,0.575,0.82,0.83,1,0.0801,0.374,0.0,0.252,0.492,0.49,2018
0.69,1,1,0.683,0.785,0.64,0.87,1,0.037,0.0643,0.0,0.177,0.581,0.51,2019
0.56,1,1,0.638,0.818,0.82,0.88,0,0.05,0.131,0.0,0.107,0.489,0.53,2019
0.56,1,1,0.707,0.806,0.55,0.88,1,0.175,0.00908,0.0,0.366,0.634,0.5,2019
0.6,1,1,0.59,0.888,0.45,0.92,1,0.0765,0.0216,0.0,0.487,0.288,0.53,2019
0.4,1,1,0.632,0.574,0.36,0.8,1,0.053,0.0942,0.0,0.215,0.557,0.53,2019
0.57,1,1,0.703,0.879,0.09,0.88,0,0.177,0.0693,0.0,0.315,0.542,0.52,2019
0.7,1,1,0.79,0.746,0.82,0.85,1,0.0502,0.241,0.0,0.316,0.538,0.52,2019
0.63,1,1,0.733,0.718,0.36,0.83,0,0.0376,0.0107,0.01,0.33,0.206,0.51,2019
0.65,1,1,0.728,0.848,0.45,0.84,1,0.185,0.0427,0.0,0.118,0.612,0.52,2019
0.56,1,1,0.502,0.78,0.0,0.88,1,0.244,0.333,0.0,0.72,0.607,0.51,2019
0.02,1,1,0.638,0.708,0.09,0.87,0,0.0421,0.24,0.0,0.311,0.582,0.43,2018
0.53,1,1,0.685,0.712,0.55,0.89,0,0.0894,0.334,0.0,0.047,0.483,0.48,2018
